Position,Title,Artist,Streams
1,Lovin On Me,Jack Harlow,29
2,Cruel Summer,Taylor Swift,14.4
3,Greedy,Tate McRae,14.7
4,I Remember Everything,Zach Bryan feat. Kacey Musgraves,22.2
5,Paint The Town Red,Doja Cat,12.7
6,Snooze,SZA,14.7
7,Water,Tyla,11.2
8,Lose Control,Teddy Swims,17
9,Last Night,Morgan Wallen,15.7
10,Agora Hills,Doja Cat,11.7
11,Fast Car,Luke Combs,11.3
12,Thinkin' Bout Me,Morgan Wallen,13.7
13,Is It Over Now? (Taylor's Version),Taylor Swift,9.7
14,FTCU,Nicki Minaj,14.3
15,Stick Season,Noah Kahan,15.3
16,What Was I Made For?,Billie Eilish,9.2
17,White Horse,Chris Stapleton,10.7
18,Rich Baby Daddy,Drake feat. Sexyy Red & SZA,11.6
19,Lil Boo Thang,Paul Russell,7.7
20,Flowers,Miley Cyrus,7.6
21,La Diabla,Xavi,15.5
22,World On Fire,Nate Smith,7.3
23,Need A Favor,Jelly Roll,7.8
24,Everybody,Nicki Minaj feat. Lil Uzi Vert,10.6
25,Whatumean,Gunna,10.6
26,First Person Shooter,Drake feat. J. Cole,10.4
27,Vampire,Olivia Rodrigo,9.2
28,Pretty Little Poison,Warren Zeiders,9.5
29,Save Me,Jelly Roll & Lainey Wilson,7.7
30,Houdini,Dua Lipa,6.3
31,Used To Be Young,Miley Cyrus,4.7
32,Dance The Night,Dua Lipa,7.4
33,Kill Bill,SZA,9.2
34,Good Good,"Usher, Summer Walker, & 21 Savage",5.5
35,My Love Mine All Mine,Mitski,11.4
36,Exes,Tate McRae,9
37,I Know?,Travis Scott,8.2
38,Truck Bed,Hardy,7.6
39,On My Mama,Victoria Monet,4.7
40,Never Lose Me,Flo Milli,10.1
41,Surround Sound,JID feat. 21 Savage & Baby Tate,9.2
42,Wild Ones,Jessie Murph feat. Jelly Roll,11.4
43,The Painter,Cody Johnson,6.6
44,Strangers,Kenya Grace,6.3
45,You Broke My Heart,Drake,7.9
46,Save Me The Trouble,Dan + Shay,4.4
47,Feather,Sabrina Carpenter,6.7
48,Monaco,Bad Bunny,7.5
49,Where The Wild Things Are,Luke Combs,5.3
50,IDGAF,Drake feat. Yeat,9.5
51,Get Him Back! ,Olivia Rodrigo,4.3
52,Burn It Down,Parker McCollum,6.5
53,Harley Quinn,Fuerza Regida & Marshmello,8.5
54,Bellakeo,Peso Pluma & Anitta,9.2
55,La Victima,Xavi,8.8
56,500lbs,Lil Tecca,8.5
57,Hey Driver,Zach Bryan feat. The War And Treaty,7.4
58,Murder On The Dancefloor ,Sophie Ellis-Bextor,6.6
59,I Can Feel It,Kane Brown,4.1
60,One Of The Girls,"The Weeknd, Jennie, Lily-Rose Depp",7.4
61,Qlona,Karol G & Peso Pluma,6.6
62,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",6.9
63,Man Made A Bar,Morgan Wallen feat. Eric Church,5.2
64,Different Round Here,Riley Green feat. Luke Combs,2.7
65,Can't Catch Me Now,Olivia Rodrigo,6.5
66,Mmhmm,BigXthaPlug,6.6
67,Soak City (Do It),310babii,5.2
68,Twenty Three,Chayce Beckham,4.2
69,We Don't Fight Anymore,Carly Pearce & Chris Stapleton,4.9
70,Segun Quien,Maluma & Carin Leon,5.8
71,Fe!n,Travis Scott feat. Playboi Carti,6
72,Oklahoma Smokeshow ,Zach Bryan,6.1
73,Wondering Why,Red Clay Strays,5.5
74,El Amor de Su Vida,Grupo Frontera & Grupo Firme,6.6
75,Perro Negro,Bad Bunny & Feid,5.8
76,Virginia Beach,Drake,5.6
77,Mind On You,George Birge,1.1
78,Standing Next To You,Jung Kook,4.8
79,Act II: Date @ 8,4batz,5.5
80,My Eyes,Travis Scott,5.3
81,Great Gatsby,Rod Wave,6
82,Rich Men North Of Richmond,Oliver Anthony Music,6
83,Northern Attitude,Noah Kahan & Hozier,4.8
84,Y Lloro,Junior H,5.7
85,You're Losing Me (From The Vault),Taylor Swift,5.2
86,Slime You Out,Drake feat. SZA,5.3
87,Can't Have Mine,Dylan Scott,2.6
88,Bad Idea Right?,Olivia Rodrigo,4.6
89,Now That We Don't Talk (Taylor's Version),Taylor Swift,4.9
90,Coal,Dylan Gossett,5.1
91,Tourniquet,Zach Bryan,4.7
92,"Burn, Burn, Burn",Zach Bryan,4.7
93,Lovers Rock,TV Girl,5.1
94,Run For The Hills,Tate McRae,4.7
95,Lace It,"Juice WRLD, Eminem, & Benny Blanco",4.7
96,Mi Ex Tenia Razon,Karol G,3.8
97,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",4.8
98,Better Place,NSYNC & Justin Timberlake,4
99,Turks & Caicos,Rod Wave feat. 21 Savage,5.2
100,Needle,Nicki Minaj feat. Drake,3.9
